wavelength_nm,usgs_aspen_green_reflectance,usgs_dry_grass_reflectance,usgs_sand_reflectance,usgs_seawater_reflectance,chemla_bchl_a_yf10_absorbance,chemla_smurfp_biliverdin_ecoli_absorbance,chemla_smurfp_biliverdin_pputida_absorbance
450.0,0.0568888569,0.0889575717,0.156504597,0.0437928124,-0.029611539,-0.0735230193,-0.0202569456
451.0,0.0569780381,0.0898312763,0.157195173,0.0436622052,-0.0284545941,-0.0730870503,-0.0212265979
452.0,0.0570048096,0.0907049636,0.157835206,0.0435828447,-0.0271480778,-0.0726287445,-0.0220499256
453.0,0.0570623724,0.0915681184,0.158402484,0.0435254473,-0.0255800083,-0.0719680016,-0.0217143532
454.0,0.057214335,0.092413902,0.15900378,0.0435031184,-0.0242490001,-0.0711023861,-0.0214344695
455.0,0.0574051381,0.0932481207,0.159628014,0.0434958188,-0.0230564288,-0.0701222619,-0.0212034778
456.0,0.057549421,0.094079882,0.16021159,0.0434491456,-0.0223510259,-0.0693573515,-0.0231169769
457.0,0.0575864987,0.0949155624,0.160683367,0.0433855979,-0.0214977328,-0.0688367134,-0.0238880907
458.0,0.057554454,0.095751069,0.16133861,0.0433035213,-0.0204021182,-0.0687163208,-0.0227873806
459.0,0.05751599,0.0965796572,0.161977545,0.0432135033,-0.0185564013,-0.0682590073,-0.0226964717
460.0,0.05751726,0.0973964698,0.162451125,0.0431461012,-0.0166167657,-0.0675457131,-0.0228345053
461.0,0.057537645,0.098204024,0.16303438,0.0430883921,-0.0158317689,-0.0657832096,-0.0221698662
462.0,0.057540048,0.099006921,0.163598024,0.0430520852,-0.0146822799,-0.0633903141,-0.0218403342
463.0,0.057499148,0.099808589,0.16408989,0.0430249502,-0.0131534212,-0.0603412964,-0.0218595874
464.0,0.0574373935,0.100609058,0.164517985,0.0429828756,-0.0122292561,-0.0591272492,-0.0214460131
465.0,0.057388991,0.10140702,0.16498892,0.0429343986,-0.0111739826,-0.0582015813,-0.0209623878
466.0,0.0573801882,0.102201838,0.165491065,0.0428601622,-0.00935726508,-0.0572497516,-0.0204781792
467.0,0.0574049058,0.102993722,0.166009805,0.0427748867,-0.00780966182,-0.0554241984,-0.019696619
468.0,0.0574491666,0.103783648,0.166557485,0.0426752727,-0.00643997797,-0.0530210007,-0.0187184708
469.0,0.0575050594,0.104571412,0.167019105,0.0425695137,-0.00495131388,-0.0521585457,-0.0196896077
470.0,0.057589773,0.10535412,0.16741122,0.0424437068,-0.00354304704,-0.0506630337,-0.0200789092
471.0,0.057726676,0.106128068,0.167830185,0.042309308,-0.00229510132,-0.0478730372,-0.0192501244
472.0,0.057923228,0.10689124,0.16833808,0.042160441,-0.000720649971,-0.0464985446,-0.0196630356
473.0,0.0581233703,0.107648838,0.168819904,0.042005374,0.00101378324,-0.0455746702,-0.020400728
474.0,0.0582551387,0.108407762,0.169241366,0.0418423702,0.00306659951,-0.0433817408,-0.0192563361
475.0,0.0582687173,0.109172758,0.169732065,0.0416759652,0.00504026572,-0.0415663088,-0.0185317807
476.0,0.0582027857,0.109939662,0.170252165,0.0415170674,0.00691912582,-0.0402030441,-0.0183101063
477.0,0.058118351,0.11070248,0.1707599,0.0413613867,0.00889497843,-0.0385447182,-0.018219035
478.0,0.0580708012,0.111456687,0.171229115,0.0412092817,0.010814427,-0.0366899701,-0.0179305775
479.0,0.058093399,0.11220432,0.17174561,0.0410587092,0.0124181076,-0.0342862324,-0.0167187918
480.0,0.0582138253,0.112948897,0.172202534,0.0408971979,0.0143808674,-0.0329267458,-0.0171869689
481.0,0.0584420687,0.113693633,0.172609626,0.0407309988,0.0166189636,-0.0323679747,-0.0189433153
482.0,0.0587167544,0.114439497,0.173123146,0.0405432292,0.0184876225,-0.0290711674,-0.0174593941
483.0,0.0589587476,0.115187023,0.173685944,0.0403462152,0.0203494584,-0.025973681,-0.0162619126
484.0,0.059107326,0.11593575,0.17421316,0.040113468,0.0222519634,-0.0237416891,-0.0162028066
485.0,0.0591758853,0.116682253,0.174655376,0.0398654065,0.0240889496,-0.0215490709,-0.0159714343
486.0,0.059196077,0.11742192,0.17514209,0.0395922845,0.0258951545,-0.0193749946,-0.0157023373
487.0,0.059197675,0.118152217,0.175674356,0.0393084225,0.0277080065,-0.0171977897,-0.0163076724
488.0,0.059202142,0.118877693,0.176248064,0.0390084782,0.0296642343,-0.0144126002,-0.016288639
489.0,0.0592290957,0.119605227,0.176832245,0.0387016412,0.0318192722,-0.0107843581,-0.0154038344
490.0,0.0592956163,0.120338863,0.177314215,0.0383838089,0.0340254746,-0.00839101534,-0.0160190265
491.0,0.059409726,0.12107446,0.17782404,0.0380612642,0.0361830748,-0.00625607651,-0.0165567549
492.0,0.0595771203,0.121805523,0.178439884,0.0377264526,0.0380136797,-0.00374396882,-0.0145818143
493.0,0.059794698,0.12252734,0.17899574,0.0373863841,0.0398677456,-0.00108212345,-0.0122516917
494.0,0.060024766,0.123243227,0.179564516,0.0370338439,0.0417426166,0.00171250816,-0.00960659629
495.0,0.060220666,0.12395792,0.18016221,0.0366759589,0.0435732505,0.00409366411,-0.00809899326
496.0,0.0603510819,0.124675187,0.180764605,0.0363145132,0.0453187114,0.00651338635,-0.00647589485
497.0,0.0604451661,0.125393193,0.181306675,0.0359515415,0.0468492189,0.00915792715,-0.004209157
498.0,0.060547281,0.12610891,0.18190031,0.0355719194,0.0489820391,0.0118470827,-0.00217637484
