wavelength_nm,absorbance
399.58999999999997,-0.021080408864303846
401.21899999999999,-0.019964862029722308
402.84899999999999,-0.01430304241212832
404.47800000000001,-0.015957865145238115
406.108,-0.013306484986068678
407.73700000000002,-0.017922288478589177
409.36700000000002,-0.013202964613718976
410.99599999999998,-0.015298951657147231
412.62599999999998,-0.015512674102232005
414.255,-0.017946432583342692
415.88499999999999,-0.019069613512740863
417.51400000000001,-0.019893834660229537
419.14299999999997,-0.020772840474095916
420.77300000000002,-0.020212969938762232
422.40199999999999,-0.023091758348147612
424.03199999999998,-0.022014883215842995
425.661,-0.021924059227673737
427.291,-0.023640527471684547
428.92000000000002,-0.022778308400500213
430.55000000000001,-0.020775600549231055
432.17899999999997,-0.026105755893784388
433.80900000000003,-0.028124394082401694
435.43799999999999,-0.02980514297039244
437.06799999999998,-0.031153511922479171
438.697,-0.033145463346332948
440.327,-0.033737442234778259
441.95600000000002,-0.034680879123177466
443.58499999999998,-0.034258615238330625
445.21499999999997,-0.033367468798747246
446.84399999999999,-0.032313491417790219
448.47399999999999,-0.030655429099215981
450.10300000000001,-0.029541079858935559
451.733,-0.027566752376728287
453.36200000000002,-0.025012367096672816
454.99200000000002,-0.02306207202024646
456.62099999999998,-0.021912970699667689
458.25099999999998,-0.020127118988181425
459.88,-0.016710965267597466
461.50999999999999,-0.015431420625877768
463.13900000000001,-0.012940909842976078
464.76900000000001,-0.011593644363569688
466.39800000000002,-0.0086342115031873279
468.02699999999999,-0.0064029965012438184
469.65699999999998,-0.0039710924214905741
471.286,-0.001938188840292121
472.916,0.0008413466734139563
474.54500000000002,0.0041853843837844629
476.17500000000001,0.0072479263308586339
477.80399999999997,0.010500105574956287
479.43400000000003,0.013114104925391612
481.06299999999999,0.016759963655472276
482.69299999999998,0.019765389389404364
484.322,0.022864569968170823
485.952,0.025808137609179493
487.58100000000002,0.028761273476662796
489.21100000000001,0.03227398520221969
490.83999999999997,0.035890178050716537
492.47000000000003,0.038874063930281089
494.09899999999999,0.041928228866778605
495.72800000000001,0.044902413392765128
497.358,0.047397140618742117
498.98700000000002,0.051418635288114634
500.61700000000002,0.054343414817573987
502.24599999999998,0.058268519186919332
503.87599999999998,0.061162192943795213
505.505,0.064325379841913444
507.13499999999999,0.06664168229876799
508.76400000000001,0.0690632999084278
510.39400000000001,0.07061597045373641
512.02300000000002,0.073243906630850064
513.65300000000002,0.075082968432265362
515.28200000000004,0.077881056720113084
516.91200000000003,0.079838677191016838
518.54100000000005,0.080758346569136108
520.16999999999996,0.082386356309758269
521.79999999999995,0.084587456249162418
523.42899999999997,0.086749808425625075
525.05899999999997,0.088104950648274283
526.68799999999999,0.09026553883054611
528.31799999999998,0.092253673839165828
529.947,0.094495777316954022
531.577,0.097549833865719138
533.20600000000002,0.099814353009943957
534.83600000000001,0.10220724237069068
536.46500000000003,0.10307493757294239
538.09500000000003,0.10526090485990436
539.72400000000005,0.10670993526231548
541.35400000000004,0.10760624080851205
542.98299999999995,0.10787694670028919
544.61199999999997,0.10842997050344688
546.24199999999996,0.10840765580071055
547.87099999999998,0.1063711749537688
549.50099999999998,0.10461528892917749
551.13,0.10330828162629446
552.75999999999999,0.10275844786523458
554.38900000000001,0.10333798178631604
556.01900000000001,0.10463055089366363
557.64800000000002,0.10524384937028047
559.27800000000002,0.10562449361904414
560.90700000000004,0.10645653828579815
562.53700000000003,0.10549756564302742
564.16600000000005,0.10488751621284026
565.79600000000005,0.10307776279356529
567.42499999999995,0.10278711270273333
569.05499999999995,0.10115771128455653
570.68399999999997,0.099802275211758773
572.31299999999999,0.098831331657457944
573.94299999999998,0.099225444337180724
575.572,0.10008485649050936
577.202,0.10208049843513267
578.83100000000002,0.10514145388347518
580.46100000000001,0.10894815338054986
582.09000000000003,0.1143429764018199
583.72000000000003,0.12011646006847099
585.34900000000005,0.12547951886117703
586.97900000000004,0.13132096860229181
588.60799999999995,0.13605616720485936
590.23800000000006,0.14089397661141634
591.86699999999996,0.14230533248304711
593.49699999999996,0.14288222442352405
595.12599999999998,0.1391131726201108
596.755,0.13346724354953898
598.38499999999999,0.12531718467009068
600.01400000000001,0.11705825898404021
601.64400000000001,0.10620652317962298
603.27300000000002,0.094631214240991524
604.90300000000002,0.083126668447035645
606.53200000000004,0.072798105260676538
608.16200000000003,0.061293645975284528
609.79100000000005,0.050713234385525885
611.42100000000005,0.04035628292992488
613.04999999999995,0.031868449157866241
